Alloy Name,Serial Number,Al,Ag,B,Be,Bi,C,Ca,Cd,Ce,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Mo,Nb,Ni,O,Pb,Sc,Si,Sn,Ta,Te,Ti,V,Zn,Zr,D @ 1000K (cm²/s)_weighted,D @ 500K (cm²/s)_weighted,D @ 600K (cm²/s)_weighted,D @ 700K (cm²/s)_weighted,D @ 800K (cm²/s)_weighted,D @ 900K (cm²/s)_weighted,D0 (cm²/s)_weighted,Q (kJ/mol)_weighted,atomic_number_weighted,atomic_volume_elemental_phase_A3_per_atom_mp_weighted,atomic_weight_weighted,band_gap_elemental_phase_eV_mp_weighted,bulk_modulus_vrh_elemental_phase_GPa_mp_weighted,density_elemental_phase_g_cm3_mp_weighted,electronegativity_weighted,formation_energy_eV_atom,lattice_a_elemental_phase_A_mp_weighted,lattice_alpha_elemental_phase_deg_mp_weighted,lattice_b_elemental_phase_A_mp_weighted,lattice_beta_elemental_phase_deg_mp_weighted,lattice_c_elemental_phase_A_mp_weighted,lattice_gamma_elemental_phase_deg_mp_weighted,melting_point_K_weighted,poisson_ratio_homogeneous_elemental_phase_mp_weighted,shear_modulus_vrh_elemental_phase_GPa_mp_weighted,space_group_number_elemental_phase_mp_weighted,specific_heat_J_gK_weighted,thermal_conductivity_W_mK_weighted,valence_electrons_weighted,young_modulus_vrh_elemental_phase_GPa_mp_weighted,Size_Mismatch_δ,SFE_weighted_mJ_m2,Size_Mismatch_δ.1,Total_Excess_Solute,L12_Score,Ternary_L12_Avg,Ternary_ThreePhase_Avg,Process,YS,UTS,Elongation
Al-2Ti-2Fe-2Co-2Ni,1,92,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0.0000000222,1.16E-16,3.87E-14,3.22E-12,1.03E-10,0.00000000185,0.26398,133.116,14.02,16.15572756,29.2484,0,82.72,3.120220624,1.6244,3.478,2.86721343,61.20000396,2.867213382,61.20000895,2.863921128,62.18939894,1003.7524,0.3282,29.48,224.4,0.8646,223.904,3.38,79.12,0.305344836,157.32,0.305344836,7.864199178,1,1,1,1000000,700,900,20
AlSi11CuMn,2,88.34,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0.5,0,0,0,0,0,0,10.73,0,0,0,0,0,0,0,0.0000000207,1.09E-16,3.62E-14,3.01E-12,9.63E-11,0.00000000172,193.3001616,161.17015,13.2361,16.82912568,27.396154,0.06550665,78.83434,2.725723609,1.642064,3.521132,2.986289483,60.24736044,2.986289634,60.24735901,2.986290105,60.24735944,1019.075909,0.324278,32.11088,225.1746,0.87532,227.11685,3.1617,77.336,0.714804274,165.5737299,0.714804274,0,0,0,1,1000000,288,354,5
Al-Cu-Mg-Mn-Zr,3,95.63,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,2.24,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000228,1.21E-16,4.01E-14,3.33E-12,1.06E-10,0.0000000019,0.2033728,126.25824,13.3072,16.50186682,27.675025,0,76.3888,2.831710366,1.608477,3.348422,2.871083788,60.81052286,2.871083822,60.81052222,2.915194161,61.48252176,942.724506,0.329065,26.3538,224.2832,0.892077,237.577868,3.1368,70.9084,0.235490977,162.3906939,0.235490977,0,0,0,1,1000000,374.9,424,8.2
A356 (AlSi7Mg0.3),4,92.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,6.74,0,0,0,0,0,0,0,0.0000000218,1.15E-16,3.82E-14,3.18E-12,1.02E-10,0.00000000182,121.4868568,146.94829,13.0641,16.74019059,27.046003,0.0411477,77.33402,2.689571334,1.628556,3.467372,2.923947323,60.09900396,2.923947431,60.09900288,2.930446295,60.19800299,984.223371,0.326498,29.58294,225.0325,0.88759,230.8015,3.0641,73.9615,0.574652371,165.6886125,0.574652371,0,0,0,1,1000000,200,400,14.5
AlSi10Mg,5,89.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.33,0.02,0,0,0.01,0,0,0,9.85,0,0,0,0.01,0,0,0,0.0000000211,1.11E-16,3.69E-14,3.07E-12,9.81E-11,0.00000000175,177.4628599,157.50473,13.1091,16.850495,27.111585,0.06013425,78.1004,2.68224279,1.63774,3.506716,2.955712473,60.1328985,2.955712608,60.13289736,2.963140832,60.24852639,1008.569737,0.324896,31.3065,225.0925,0.881198,227.873122,3.1003,75.9694,0.687237731,165.5475424,0.687237731,0.055505362,0.005,0,1,1000000,275,375,7.5
A357,6,92.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,6.73,0,0,0,0,0,0,0,0.0000000218,1.15E-16,3.82E-14,3.18E-12,1.01E-10,0.00000000182,121.313284,146.95455,13.0549,16.7844108,27.022368,0.04108665,77.00444,2.682177698,1.626026,3.452245,2.926027737,60.32700393,2.926027838,60.32700286,2.947886316,60.66000296,983.973005,0.326158,29.50478,224.768,0.888455,230.1548,3.0559,73.7535,0.585817745,164.9526056,0.585817745,0,0,0,1,1000000,225,375,5.5
AlSi9Cu3,7,90.26,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72,0,0,0,0,0,0,0,0.0000000211,1.11E-16,3.7E-14,3.08E-12,9.84E-11,0.00000000176,157.1252224,154.4176,13.2504,16.74248889,27.449806,0.0532356,78.55376,2.75082726,1.638246,3.499148,2.939243557,60.00000423,2.939243692,60.00000292,2.939244199,60.00000318,1003.505676,0.325742,30.89832,225.1744,0.87823,230.9992,3.1688,75.844,0.650185166,165.0166521,0.650185166,0,0,0,1,1000000,266,462.5,4
Al-Mn-Mg-Sc-Zr alloy,8,95.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,1.42,2.32,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0.13,0.0000000228,1.26E-16,4.12E-14,3.38E-12,1.07E-10,0.00000000191,0.194806504,127.44822,13.348,16.53141646,27.783619,0,76.38003,2.814307077,1.60265,3.359241,2.979982903,61.78973556,2.979982924,61.78973514,3.022363367,62.42857557,953.652738,0.327297,27.1389,224.1615,0.888891,228.963822,3.0814,72.70494,0.247517682,163.6911343,0.247517682,2.234054114,0.69,0,1,1000000,430,449,17
Scalmalloy (Sc-Zr-modified Al-Mg),9,93.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,5.34,0.28,0,0,0,0,0,0.45,0.04,0,0,0,0.01,0,0,0.09,0.0000000231,1.27E-16,4.15E-14,3.41E-12,1.08E-10,0.00000000193,0.942572772,125.71342,13.0483,16.8225245,27.071404,0.0002442,73.92101,2.690181437,1.592654,3.294248,2.8896021,61.92052261,2.889602087,61.92052225,3.006296959,63.69725654,940.428778,0.327383,25.73434,223.1542,0.902625,230.705988,2.9617,69.1585,0.292283454,160.4420144,0.292283454,0.401835596,0.545,0,0,1000000,380,415,14.8
Al-3Ni-1Ti-0.8Zr-0.5Mn,10,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1.42,0,0,0,0,0,0,0,0.58,0,0,0.24,0.0000000234,1.33E-16,4.3E-14,3.5E-12,1.1E-10,0.00000000196,0.199597592,126.8088,13.3587,16.39658164,27.772822,0,77.81264,2.844026553,1.612871,3.418728,2.873431237,60.36368145,2.873431283,60.36368085,2.867972584,60.60968059,954.83335,0.329449,26.9611,224.6859,0.888636,232.566805,3.1173,72.469,0.178486894,164.5037096,0.178486894,2.101488806,0.53,1,1,1000000,394,479,7.1
