Scenario,Al,Ti,Fe,Co,Ni,Sc,Zr,Cr,Process,Ag,Cu,Cu_Mg_ratio,Li,Mg,MgZnCu_total,Mg_Si_ratio,Mn,Si,Zn,Zn_Mg_ratio,atomic_radius_weighted,bulk_modulus_weighted,config_entropy,density_weighted,electronegativity_weighted,melting_point_weighted,shear_modulus_weighted,size_mismatch_delta,total_solute_atpct,YS,UTS,Elongation,Q
case3_full_ext_Al80_99,85.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.4937905799346,418.49822135071724,25.29333965787098,1177.2984110868465
case3_full_ext_Al80_99,85.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.4937905799346,418.49822135071724,25.29333965787098,1177.2984110868465
case3_full_ext_Al80_99,85.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.4937905799346,418.49822135071724,25.29333965787098,1177.2984110868465
case3_full_ext_Al80_99,86.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.5779572466013,418.4609552688459,25.29333965787098,1177.2611450049753
case3_full_ext_Al80_99,85.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.4555405799346,418.69474516024104,25.283182755514073,1177.1902278256632
case3_full_ext_Al80_99,85.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.4555405799346,418.69474516024104,25.283182755514073,1177.1902278256632
case3_full_ext_Al80_99,85.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.4555405799346,418.69474516024104,25.283182755514073,1177.1902278256632
case3_full_ext_Al80_99,85.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.4555405799346,418.69474516024104,25.283182755514073,1177.1902278256632
case3_full_ext_Al80_99,85.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.4555405799346,418.69474516024104,25.283182755514073,1177.1902278256632
case3_full_ext_Al80_99,85.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.4555405799346,418.69474516024104,25.283182755514073,1177.1902278256632
